extension,type,x,y,mag_v,mag_i,snr_v,snr_i,sharp_v,sharp_i,round_v,round_i,err_v,err_i
0,1,893.24,992.69,24.1,23.174,27.1,30.4,0.056,0.004,0.15,0.034,0.04,0.036
0,1,951.7,1053.78,23.914,23.547,24.8,16.9,-0.138,-0.249,0.041,0.225,0.044,0.064
0,1,982.435,1054.76,24.192,23.125,28.8,30.8,0.01,0.026,0.061,-0.008,0.038,0.035
0,1,878.37,774.235,24.377,22.989,28.7,35.6,0.015,0.029,0.036,0.019,0.038,0.031
0,1,995.3,825.05,24.254,23.084,28.6,31.9,0.017,-0.072,0.079,0.059,0.038,0.034
0,1,794.4,876.77,24.339,23.011,28.3,32.2,-0.037,-0.019,0.042,0.082,0.038,0.034
0,1,858.1,901.995,24.317,23.048,28.6,34.2,0.078,-0.046,0.129,0.063,0.038,0.032
0,1,994.76,970.23,99.999,99.999,0.0,22.3,0.0,0.099,0.0,0.092,0.0,0.049
0,1,762.0,894.815,24.383,23.015,22.4,26.8,-0.122,-0.124,0.138,0.224,0.049,0.041
0,1,707.465,958.2950000000001,24.342,23.045,25.5,29.0,-0.034,-0.022,0.017,0.025,0.043,0.037
0,1,872.48,817.225,24.272,23.103,30.7,32.9,0.019,0.056,0.062,0.031,0.035,0.033
0,1,941.94,762.9,24.223,23.172,24.0,30.3,-0.084,-0.065,0.07,0.064,0.045,0.036
0,1,954.935,877.89,24.266,23.122,30.0,31.9,0.027,0.006,0.041,0.088,0.036,0.034
0,1,900.655,975.72,24.294,23.133,22.9,25.3,0.048,0.027,0.103,-0.022,0.047,0.043
0,1,1063.275,1009.8899999999999,24.244,23.145,23.5,26.5,0.012,-0.018,0.028,-0.019,0.046,0.041
0,1,881.875,943.45,23.901,23.85,31.6,19.2,-0.009,0.023,0.042,0.292,0.034,0.056
0,1,741.74,1060.84,24.338,23.139,13.9,29.7,-0.099,0.0,0.067,0.102,0.078,0.037
0,1,856.91,868.42,24.263,23.139,30.5,32.1,0.01,0.004,0.133,0.026,0.036,0.034
0,1,772.8050000000001,810.87,24.214,23.245,25.2,29.2,-0.027,0.026,0.121,0.066,0.043,0.037
0,1,786.85,764.33,24.462,23.027,26.9,34.5,0.015,0.028,0.047,0.03,0.04,0.031
0,1,987.69,809.55,24.152,23.299,32.0,28.7,0.02,0.047,0.082,0.069,0.034,0.038
0,1,721.555,924.905,24.415,23.087,25.9,31.3,0.001,-0.01,0.298,0.116,0.042,0.035
0,1,888.51,747.035,24.483,23.068,25.9,33.2,0.012,0.013,0.118,-0.035,0.042,0.033
