extension,x,y,mag_v,mag_i,type,snr_v,snr_i,flag_v,flag_i,crowd_v,crowd_i,sharp_v,sharp_i,err_v,err_i
1,2547.24,1124.5,25.135,24.143,1,42.7,38.2,0,0,0.0,0.0,0.0289999999999999,0.054,0.025,0.0279999999999999
1,3889.47,341.47,25.241,24.096,1,40.9,39.2,0,0,0.019,0.02,-0.012,-0.003,0.027,0.0279999999999999
1,172.65,395.54,25.265,24.072,1,40.5,39.9,0,0,0.0139999999999999,0.012,-0.009,0.008,0.027,0.027
1,3528.45,1954.97,25.138,24.169,1,42.1,37.4,0,0,0.004,0.008,0.009,0.045,0.026,0.0289999999999999
1,1874.33,1536.55,25.241,24.1,1,41.0,39.3,0,0,0.0,0.0,-0.025,-0.035,0.026,0.0279999999999999
1,2493.76,2042.91,25.747,24.904,1,26.7,22.4,0,0,0.001,0.003,0.079,0.021,0.0409999999999999,0.048
1,2169.15,177.71,25.217,24.152,1,41.3,38.3,0,0,0.001,0.001,-0.002,0.022,0.026,0.0279999999999999
1,3247.97,1850.47,25.159,24.206,1,41.9,36.2,0,0,0.01,0.022,-0.012,0.0289999999999999,0.026,0.03
1,3150.93,363.92,25.217,24.175,1,40.7,37.5,0,0,0.0069999999999999,0.018,0.001,-0.033,0.027,0.0289999999999999
1,2436.2,1318.98,25.255,24.151,1,38.9,37.1,0,0,0.001,0.0,0.047,0.022,0.0279999999999999,0.0289999999999999
1,3046.74,612.73,25.189,24.194000000000003,1,41.5,37.1,0,0,0.0,0.0,-0.009,0.033,0.026,0.0289999999999999
1,3784.03,1235.01,25.104,24.271,1,39.3,32.5,0,0,0.004,0.003,0.07,0.063,0.0279999999999999,0.033
1,3843.09,32.34,25.27,24.141,1,39.7,38.0,0,0,0.01,0.0069999999999999,-0.0069999999999999,0.024,0.027,0.0289999999999999
1,2928.18,784.19,25.2,24.205,1,40.8,36.7,0,0,0.0,0.001,0.0069999999999999,0.037,0.027,0.03
1,3703.9,1682.71,25.223000000000003,24.194000000000003,1,40.0,36.7,0,0,0.008,0.015,0.051,0.0139999999999999,0.027,0.03
1,2198.76,830.92,25.199,24.227,1,40.4,36.1,0,0,0.046,0.05,0.034,0.049,0.027,0.03
1,1867.43,444.71,24.909,24.488000000000003,1,45.2,30.4,0,0,0.0,0.001,0.011,0.046,0.024,0.036
1,3642.2,883.89,25.238000000000003,24.208,1,39.9,36.5,0,0,0.0,0.0,-0.018,-0.0139999999999999,0.027,0.03
1,3730.6,1638.14,25.24,24.201,1,39.7,36.5,0,0,0.003,0.017,0.034,0.042,0.027,0.03
1,3525.44,637.23,25.317,24.157,1,39.1,38.0,0,0,0.0139999999999999,0.0139999999999999,-0.003,0.008,0.0279999999999999,0.0289999999999999
1,3628.78,174.33,25.882,23.926,1,30.1,44.2,0,0,0.005,0.004,0.003,-0.02,0.036,0.025
1,58.37,326.26,25.24,24.218000000000004,1,40.1,36.1,0,0,0.001,0.016,-0.027,-0.0069999999999999,0.027,0.03
